#{"t_start": 1731331267.9739974, "env_id": "CartPole-v1"}
r,l,t
93.0,93,0.034103
14.0,14,0.048554
12.0,12,0.060744
16.0,16,0.076987
12.0,12,0.08919
13.0,13,0.102574
12.0,12,0.114749
10.0,10,0.124883
10.0,10,0.135275
11.0,11,0.146883
16.0,16,0.163332
12.0,12,0.175591
13.0,13,0.188838
16.0,16,0.205199
12.0,12,0.2178
14.0,14,0.232182
18.0,18,0.2506
11.0,11,0.262025
10.0,10,0.27268
9.0,9,0.282222
11.0,11,0.294082
16.0,16,0.310969
10.0,10,0.321558
14.0,14,0.336172
15.0,15,0.351838
8.0,8,0.360322
11.0,11,0.371765
18.0,18,0.390388
12.0,12,0.402739
12.0,12,0.415445
10.0,10,0.425824
12.0,12,0.438435
11.0,11,0.449997
19.0,19,0.469712
10.0,10,0.480319
10.0,10,0.490655
10.0,10,0.501266
12.0,12,0.514069
9.0,9,0.523573
10.0,10,0.534092
10.0,10,0.544604
14.0,14,0.559163
11.0,11,0.571061
12.0,12,0.583726
10.0,10,0.594473
14.0,14,0.609173
12.0,12,0.621826
12.0,12,0.634517
10.0,10,0.6452
12.0,12,0.658068
11.0,11,0.669842
14.0,14,0.684596
12.0,12,0.697226
11.0,11,0.708781
13.0,13,0.722656
9.0,9,0.732133
11.0,11,0.743823
10.0,10,0.754498
11.0,11,0.766129
10.0,10,0.777023
12.0,12,0.789648
14.0,14,0.804571
10.0,10,0.815223
12.0,12,0.828552
11.0,11,0.840444
11.0,11,0.852182
13.0,13,0.866285
10.0,10,0.876852
9.0,9,0.886643
9.0,9,0.896237
12.0,12,0.908851
13.0,13,0.922795
11.0,11,0.934676
15.0,15,0.950712
14.0,14,0.965908
11.0,11,0.977414
10.0,10,0.988335
10.0,10,0.999671
10.0,10,1.010472
14.0,14,1.02584
10.0,10,1.036583
12.0,12,1.049613
12.0,12,1.062657
9.0,9,1.072545
9.0,9,1.082485
11.0,11,1.094452
11.0,11,1.106455
10.0,10,1.117443
11.0,11,1.129484
11.0,11,1.141551
11.0,11,1.153295
10.0,10,1.164256
13.0,13,1.178265
14.0,14,1.193376
9.0,9,1.203235
18.0,18,1.222611
10.0,10,1.233411
13.0,13,1.24758
11.0,11,1.259836
13.0,13,1.274158
12.0,12,1.287137
10.0,10,1.298329
11.0,11,1.310547
10.0,10,1.321649
12.0,12,1.335074
10.0,10,1.346315
12.0,12,1.359721
25.0,25,1.387461
9.0,9,1.397526
14.0,14,1.413273
9.0,9,1.423493
14.0,14,1.43977
11.0,11,1.45261
12.0,12,1.466395
10.0,10,1.478212
12.0,12,1.491874
17.0,17,1.511353
12.0,12,1.525144
9.0,9,1.535233
10.0,10,1.546984
10.0,10,1.558733
12.0,12,1.572608
9.0,9,1.582826
9.0,9,1.593547
15.0,15,1.610567
16.0,16,1.628783
12.0,12,1.642766
13.0,13,1.658527
12.0,12,1.672515
10.0,10,1.683859
9.0,9,1.694349
11.0,11,1.707186
12.0,12,1.721224
9.0,9,1.731355
9.0,9,1.74191
11.0,11,1.754566
10.0,10,1.766233
10.0,10,1.777639
8.0,8,1.787187
10.0,10,1.798877
9.0,9,1.809077
9.0,9,1.819772
8.0,8,1.829248
16.0,16,1.847592
11.0,11,1.859992
12.0,12,1.873799
12.0,12,1.88796
8.0,8,1.897543
10.0,10,1.909093
8.0,8,1.918269
11.0,11,1.93106
10.0,10,1.942709
12.0,12,1.956352
11.0,11,1.969342
9.0,9,1.979996
