Mon Nov 11 17:34:01 2024    output.prof

         19163925 function calls (17691946 primitive calls) in 45.691 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   2056/1    0.050    0.000   45.696   45.696 {built-in method builtins.exec}
        1    0.000    0.000   45.696   45.696 /home/rikka/files/codes/my-RL-lib/my_rl_library/agents/DQNs/test.py:67(run_tests)
        2    0.002    0.001   45.583   22.792 /home/rikka/files/codes/my-RL-lib/my_rl_library/agents/DQNs/test.py:19(train)
        1    0.379    0.379   37.191   37.191 /home/rikka/files/codes/my-RL-lib/my_rl_library/agents/DQNs/MyDQN.py:93(train)
     9937    0.901    0.000   34.927    0.004 /home/rikka/files/codes/my-RL-lib/my_rl_library/agents/DQNs/MyDQN.py:64(step)
     9937    0.327    0.000   11.049    0.001 /home/rikka/files/codes/my-RL-lib/my_rl_library/agents/DQNs/MyDQN.py:10(sample)
     9937    4.050    0.000    9.138    0.001 /home/rikka/files/codes/my-RL-lib/my_rl_library/utils/SamplePool.py:62(sample)
        1    0.000    0.000    7.597    7.597 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/stable_baselines3/dqn/dqn.py:258(learn)
        1    0.037    0.037    7.597    7.597 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/stable_baselines3/common/off_policy_algorithm.py:305(learn)
279506/52409    0.245    0.000    7.212    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/nn/modules/module.py:1732(_wrapped_call_impl)
279506/52409    0.338    0.000    7.150    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/nn/modules/module.py:1740(_call_impl)
    12412    0.142    0.000    7.122    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/optim/optimizer.py:467(wrapper)
    12412    0.042    0.000    6.926    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_tensor.py:525(backward)
    12412    0.057    0.000    6.881    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/autograd/__init__.py:242(backward)
    12412    0.046    0.000    6.543    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/autograd/graph.py:816(_engine_run_backward)
    12412    6.487    0.001    6.487    0.001 {method 'run_backward' of 'torch._C._EngineBase' objects}
    12412    0.080    0.000    6.294    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/optim/optimizer.py:72(_use_grad)
    12412    0.073    0.000    6.149    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/optim/adam.py:189(step)
    38435    0.431    0.000    5.797    0.000 /home/rikka/files/codes/my-RL-lib/my_rl_library/utils/MyFCNN.py:17(forward)
    12412    0.030    0.000    5.422    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/optim/optimizer.py:140(maybe_fallback)
    12412    0.068    0.000    5.378    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/optim/adam.py:717(adam)
     9937    1.654    0.000    4.767    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/optim/adam.py:320(_single_tensor_adam)
     9937    3.105    0.000    4.133    0.000 /home/rikka/files/codes/my-RL-lib/my_rl_library/agents/DQNs/MyDQN.py:25(update_samples)
     2475    0.107    0.000    3.888    0.002 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/stable_baselines3/dqn/dqn.py:184(train)
